date_in,date_out,app_date,hours_in_custody,age_group,gender,citizenship,border,sector,field_office,source
1/20/2017 14:15,1/21/2017 23:29,NA,33.21666667,12-14 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 11:02,NA,44.76666667,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 11:02,NA,44.76666667,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 11:01,NA,44.75,15-18 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 9:00,NA,42.73333333,6-8 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/22/2017 13:01,NA,46.75,3-5 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/24/2017 8:44,NA,90.46666667,12-14 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:15,1/21/2017 23:29,NA,33.21666667,15-18 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:45,1/21/2017 16:07,NA,25.36666667,12-14 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:45,1/21/2017 11:59,NA,21.23333333,15-18 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 14:45,1/21/2017 16:07,NA,25.36666667,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:00,1/22/2017 11:01,NA,44,15-18 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:00,1/22/2017 11:26,NA,44.41666667,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:00,1/22/2017 11:26,NA,44.41666667,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:00,1/22/2017 11:26,NA,44.41666667,15-18 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:00,1/22/2017 11:26,NA,44.41666667,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 8:12,NA,40.93333333,15-18 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 11:26,NA,44.16666667,15-18 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 22:30,NA,55.23333333,12-14 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/24/2017 8:44,NA,89.46666667,6-8 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 22:30,NA,55.23333333,9-11 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/24/2017 13:44,NA,94.46666667,9-11 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 15:05,NA,47.81666667,3-5 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 11:26,NA,44.16666667,15-18 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/21/2017 9:47,NA,18.51666667,12-14 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 13:00,NA,45.73333333,3-5 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 11:01,NA,43.75,15-18 years,Female,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/22/2017 15:05,NA,47.81666667,3-5 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 15:15,1/25/2017 9:52,NA,114.6,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
