age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
43,18,1,0,3,1,3,3,16,3,1,8,-100,1,-100,3,7,6,2,1,9,0,-100,2
26,17,5,0,4,1,-100,2,2,5,5,3,-100,1,-100,0,7,8,2,1,6,0,-100,2
80,12,1,2,2,1,-99,1,1,2,4,0,-100,1,-100,4,0,-100,-100,-100,-100,-100,-100,2
34,11,5,2,2,2,3,-100,-100,3,2,0,-100,1,-100,2,15,-100,-100,2,-100,-100,-100,2
26,12,5,0,8,2,-100,3,16,3,2,0,-100,1,-100,1,0,-100,-100,4,-100,-100,-100,2
56,14,2,3,2,2,3,2,2,4,9,3,-100,2,-100,2,1,2,2,2,7,2,-100,2
32,12,5,8,8,2,-100,2,2,4,4,0,-100,1,4,0,-98,-100,-100,1,-100,-100,-100,1
23,16,5,0,-100,2,2,1,1,2,4,2,1,-100,4,-100,-100,5,2,2,9,2,-100,3
34,16,3,0,8,2,-100,1,1,2,4,0,-100,1,-100,0,50,5,2,2,6,3,1,2
-99,19,5,0,2,2,-100,3,8,6,4,0,-100,1,1,2,2,1,2,1,8,0,2,1
79,16,1,4,4,1,-100,2,2,1,2,3,-100,-98,4,3,5,-100,-100,-100,-100,-100,-100,1
36,18,1,3,3,1,-100,2,2,4,1,6,1,2,4,1,4,0,2,1,8,0,-100,1
-99,16,3,2,3,2,-100,2,2,4,-99,-99,-100,1,-100,6,1,-100,-100,-100,-100,-100,-100,2
69,14,1,3,-100,1,3,2,2,4,1,5,-100,-100,1,-100,-100,-100,-100,-100,-100,-100,1,3
56,14,5,5,6,2,-100,2,2,-99,1,5,-100,2,1,6,-100,-100,-100,2,-100,-100,-100,1
-99,16,1,2,-100,2,3,3,3,-97,2,1,-100,-100,4,-100,-100,-100,-100,-100,-100,-100,1,3
36,16,5,3,-100,2,-100,2,2,4,1,7,1,1,4,0,1,-100,-100,2,-100,-100,2,1
