hours work per week,number of children,age,education,sex,race,religious preference,religious services frequency,abortion,ideal number of children,sex education,homosexual,own gun,tv hours per week,email hours per week,racial discrimination at work,days of poor mental health,sexual orientation,ballot,life now,confidence in government
-100,0,29,16,1,1,4,0,-100,2,1,4,2,2,2,2,0,-100,1,6,-100
-100,0,29,17,1,-100,4,2,1,8,1,4,2,2,0,-100,-100,-100,1,-100,-100
-100,0,29,16,2,1,4,0,1,8,1,4,1,3,30,2,7,-100,1,8,-100
-100,1,53,16,1,1,4,0,1,1,1,4,2,2,2,1,2,-100,1,9,-100
-100,2,72,16,1,1,2,3,-100,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,1
-100,0,74,18,2,3,4,0,1,-100,-100,3,2,-100,-100,-100,-100,3,3,-100,1
-100,3,43,19,1,3,2,2,-100,2,1,-100,-100,2,3,2,5,3,2,6,2
-100,4,36,14,2,1,2,4,1,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,3
-100,2,40,17,2,1,1,8,2,-100,-100,1,2,-100,-100,2,1,3,3,10,2
-100,3,60,14,1,1,2,3,1,-100,-100,4,2,-100,-100,2,0,3,3,10,2
-100,3,35,17,1,3,2,0,-100,2,1,-100,-100,1,0,2,0,-100,2,-98,3
-100,3,44,14,2,1,1,8,-100,1,1,1,2,0,2,-100,-100,-100,1,-100,-100
-100,1,66,17,1,3,2,1,-100,3,1,1,2,0,40,2,0,-100,1,7,-100
40,2,32,12,2,1,1,0,2,2,2,1,1,1,1,2,20,-100,1,10,-100
-100,1,36,11,1,2,1,2,-100,3,1,-100,-100,4,0,-100,-100,-100,2,-100,-100
-100,2,48,15,2,2,1,3,-100,3,1,-100,-100,0,7,2,0,-100,2,8,-100
-100,3,61,3,1,1,2,3,-100,3,1,-100,-100,0,-100,2,0,-100,2,8,-100
-100,2,47,12,1,3,2,3,-100,2,1,-100,-100,2,1,2,0,-98,2,8,-100
-100,2,44,16,1,2,1,0,1,-100,-100,4,1,-100,-100,-100,-100,3,3,-100,-100
-100,2,57,15,1,2,1,2,-100,8,1,4,1,3,4,2,0,-100,1,10,-100
-100,3,75,14,2,2,1,5,-100,-100,-100,-99,2,-100,-100,-100,-100,3,3,-100,-100
-100,3,31,14,2,2,1,0,-100,3,1,-100,-100,2,1,2,0,-100,2,8,2
-100,3,62,0,2,1,2,3,-100,-100,-100,1,2,-100,-100,-100,-100,-100,3,-100,-100
36,1,50,17,2,1,2,3,1,-100,-100,4,2,-100,-100,2,5,3,3,9,1
-100,2,39,15,1,1,10,2,-100,0,1,-100,-100,1,4,2,30,-100,2,10,3
-100,0,33,13,1,1,4,0,-100,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,1
-100,2,43,16,2,-100,2,1,-100,2,1,-100,-100,1,7,2,3,-100,2,9,-100
-100,0,23,16,2,3,4,2,-100,2,1,-100,-100,3,5,2,3,-100,2,8,-100
-100,0,31,16,2,1,4,2,1,-100,-100,4,2,-100,-100,2,8,3,3,7,-100
-100,0,33,19,1,1,1,7,2,-100,-100,1,2,-100,-100,2,0,3,3,8,2
-100,0,24,12,1,3,2,0,1,-100,-100,4,2,-100,-100,2,0,-98,3,6,1
-100,0,23,16,1,1,4,0,1,-100,-100,4,2,-100,-100,-100,-100,-99,3,-100,-100
-100,0,58,14,1,2,1,1,2,-100,1,1,2,8,0,2,0,-100,1,-98,-100
-100,0,39,17,2,1,4,1,-100,-100,1,4,2,4,1,2,20,-100,1,6,1
-100,3,56,6,1,3,2,4,-100,4,1,-100,-100,2,0,1,0,-100,2,9,-100
-100,0,71,16,2,2,4,6,-100,-100,-100,4,2,-100,-100,2,0,1,3,-98,-100
-100,3,56,16,2,3,1,4,-100,2,2,-100,-100,1,1,-100,-100,3,2,-100,-100
-100,3,41,14,2,3,9,8,-100,-100,-100,1,2,-100,-100,-100,-100,3,3,-100,-100
-100,0,27,17,2,1,1,1,-100,2,1,4,2,1,1,2,30,-100,1,8,1
-100,0,36,12,1,1,2,5,-100,2,1,-100,-100,2,1,1,11,3,2,6,-100
-100,4,59,12,1,3,2,7,-100,4,1,-98,2,1,0,2,0,-100,1,9,-100
30,0,25,15,1,2,2,6,1,-100,-100,1,2,-100,-100,2,0,1,3,-98,2
-100,1,28,20,2,2,1,7,-100,8,1,-100,-100,0,6,2,30,-100,2,6,-100
-100,1,70,12,2,2,1,0,1,5,1,1,2,12,-100,-100,-100,-100,1,-100,-100
-100,3,59,16,1,2,9,5,1,-100,-100,1,2,-100,-100,2,0,-97,3,8,-100
-100,0,20,15,2,3,2,4,1,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,1
-100,6,55,3,1,1,4,0,-100,2,1,1,2,3,-100,-100,-100,-100,1,-100,-100
-100,0,22,15,1,1,5,0,-100,2,1,4,2,2,0,-100,-100,-100,1,-100,1
-100,3,51,7,2,3,4,0,-100,2,1,-100,-100,3,4,-100,-100,3,2,-100,-100
-100,0,21,11,1,3,1,0,2,-100,-100,1,2,-100,-100,-100,-100,-100,3,-100,-100
-100,4,50,11,2,1,1,7,2,4,1,1,2,2,0,2,0,-100,1,8,-100
-100,5,60,7,2,1,2,5,-100,3,2,-100,-100,3,-100,-100,-100,-100,2,-100,-100
-100,0,66,16,2,1,2,4,2,0,-98,1,2,1,-100,-100,-100,-100,1,-100,-100
-100,0,23,12,1,1,2,0,1,-100,-100,4,1,-100,-100,2,5,3,3,7,2
-100,6,64,6,2,3,2,6,-100,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,-100
-100,2,32,14,1,3,2,4,-100,3,1,4,1,20,3,2,0,-100,1,-98,-100
-100,0,26,15,2,3,1,0,1,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,-100
-100,1,59,12,2,1,4,1,-100,2,1,4,1,3,7,2,0,-100,1,9,2
-100,2,81,18,2,2,4,0,-100,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,1
-100,0,36,17,1,1,1,5,-100,-100,-100,1,2,-100,-100,2,0,3,3,8,-100
-100,1,29,13,2,3,7,0,-100,-100,-100,1,2,-100,-100,-100,-100,-98,3,-100,-100
-100,2,57,11,2,1,1,0,-100,-100,-100,4,2,-100,-100,-100,-100,-100,3,-100,-100
-100,3,50,13,1,3,4,0,2,8,1,1,1,1,3,2,0,-100,1,9,-100
-100,0,38,20,2,1,4,1,-100,2,1,4,2,3,2,2,14,-100,1,8,-100
-100,0,29,17,2,2,1,6,1,8,1,1,2,1,8,2,0,-100,1,6,-100
-100,2,-99,12,1,3,-99,7,-100,2,2,-98,2,1,12,2,0,-100,1,7,-100
-100,0,37,20,2,1,3,0,-100,2,1,-100,-100,5,5,2,0,3,2,-98,1
-100,0,30,16,2,1,1,3,-100,2,1,4,2,1,50,2,20,-100,1,6,1
-100,0,19,13,1,3,3,3,-100,2,1,4,2,3,2,-100,-100,-100,1,-100,-100
-100,2,52,16,1,1,4,0,-100,2,1,4,2,0,6,2,3,-100,1,8,1
-100,0,69,19,1,1,3,6,-100,2,1,-100,-100,5,10,2,1,3,2,10,2
-100,1,66,20,2,1,3,1,-100,2,1,4,2,2,10,2,0,-100,1,9,-100
-100,2,45,18,2,1,4,0,1,2,1,4,2,1,25,2,0,-100,1,10,-100
-100,0,33,13,1,1,4,0,-100,0,1,-100,-100,1,0,2,4,-100,2,7,2
-100,4,55,20,1,2,4,3,-100,3,2,-100,-100,1,2,2,0,3,2,9,-100
-100,3,46,9,2,1,4,0,-100,2,1,-100,-100,0,0,2,30,-100,2,6,-100
-100,3,57,16,1,1,1,6,1,-100,-100,3,1,-100,-100,2,0,3,3,10,1
-100,1,42,14,1,2,4,8,-100,8,1,-100,-100,10,0,-100,-100,-100,2,-100,2
