location,sex,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years
Morocco,F,1424,1475,1558,1577,1529,1308,1183,1012,919,820,597,439,331,307,178,148
Sudan,M,2977,2660,2326,2022,1758,1492,1250,1019,826,670,533,430,312,211,124,72
Sudan,F,2864,2566,2252,1968,1724,1471,1238,1018,835,688,557,464,346,243,150,95
Tunisia,M,401,411,484,528,503,455,387,331,292,272,230,157,112,99,78,57
Tunisia,F,384,395,467,515,496,449,393,359,320,276,222,156,121,114,84,65
Western Sahara,M,25,24,24,26,27,27,25,22,18,14,9,5,3,2,1,1
Western Sahara,F,24,23,23,25,25,24,22,18,14,10,6,4,2,2,1,1
Southern Africa,M,3016,2945,2952,2974,2790,2377,1947,1559,1297,1124,925,683,476,289,156,97
Southern Africa,F,2990,2923,2933,2936,2652,2129,1766,1563,1425,1317,1111,842,642,449,282,230
Botswana,M,107,109,111,112,106,86,63,47,38,34,30,20,15,10,5,3
Botswana,F,105,107,110,110,101,74,52,42,39,39,34,23,18,14,8,6
Lesotho,M,135,136,131,124,110,84,54,33,25,22,19,17,14,12,8,5
Lesotho,F,133,134,130,122,104,72,49,40,37,35,32,26,19,16,11,9
Namibia,M,140,135,129,113,98,86,71,56,45,34,26,20,15,10,6,5
Namibia,F,137,133,128,113,96,81,67,56,49,41,33,25,19,13,9,7
South Africa,M,2560,2490,2503,2553,2423,2085,1734,1402,1172,1020,837,615,424,252,134,82
South Africa,F,2541,2474,2489,2520,2298,1865,1572,1402,1279,1184,996,755,576,400,250,205
Swaziland,M,75,75,78,72,53,35,26,21,17,14,12,10,7,5,3,2
Swaziland,F,74,74,76,71,54,36,27,23,21,19,16,12,9,7,4,3
Western Africa,M,21909,18755,16223,14077,12095,10131,8075,6324,5186,4181,3314,2644,2001,1310,732,441
Western Africa,F,21120,18128,15775,13820,11930,9923,7868,6259,5220,4358,3568,2860,2213,1497,870,579
Benin,M,635,546,469,395,334,280,231,188,151,116,88,61,49,30,17,11
Benin,F,630,549,477,404,341,286,236,193,157,126,99,82,68,46,28,21
Burkina Faso,M,1234,1061,912,773,647,529,410,321,239,174,122,104,69,42,21,10
Burkina Faso,F,1192,1025,883,756,643,537,429,350,277,219,169,144,104,66,35,17
Cape Verde,M,26,28,30,28,23,18,14,13,12,8,6,2,3,4,3,2
Cape Verde,F,26,28,29,26,21,17,13,13,13,10,8,3,4,5,5,4
Côte d'Ivoire,M,1355,1207,1079,926,790,663,526,423,364,323,282,227,176,119,67,40
Côte d'Ivoire,F,1347,1202,1076,924,787,639,475,369,321,286,245,187,145,101,59,40
Gambia,M,127,110,94,81,70,56,40,34,26,22,17,12,10,6,3,1
Gambia,F,125,110,95,85,76,63,46,38,29,22,16,10,9,5,3,1
Ghana,M,1596,1415,1312,1175,1026,874,729,605,489,385,294,254,187,128,77,54
Ghana,F,1520,1348,1251,1124,986,842,703,585,480,383,296,258,195,137,86,66
Guinea,M,715,619,542,465,387,319,261,215,175,147,119,82,64,44,25,16
Guinea,F,690,600,525,451,376,310,252,207,172,148,124,90,74,53,33,23
Guinea-Bissau,M,103,90,81,70,61,48,47,25,26,21,22,14,10,6,4,2
Guinea-Bissau,F,102,90,81,70,62,48,48,26,27,23,25,15,12,8,5,3
Liberia,M,293,243,207,186,163,135,108,85,67,53,40,29,23,15,8,4
Liberia,F,283,237,203,182,160,132,104,84,70,58,46,33,27,18,10,7
Mali,M,1207,1006,836,707,597,486,379,279,200,152,120,85,68,40,21,10
Mali,F,1158,966,804,685,585,485,389,301,232,187,155,119,97,58,30,15
Mauritania,M,233,208,187,165,145,126,106,85,67,52,38,26,19,12,6,3
Mauritania,F,225,201,180,160,140,123,103,84,68,55,42,34,25,17,9,4
Niger,M,1270,1046,799,567,450,429,357,294,316,242,169,127,81,45,22,10
Niger,F,1205,992,808,650,533,443,372,307,245,191,146,130,93,54,25,11
Nigeria,M,11401,9668,8351,7393,6424,5358,4221,3248,2656,2183,1764,1433,1104,733,414,256
Nigeria,F,10914,9276,8032,7142,6219,5159,4017,3152,2689,2304,1926,1543,1205,832,495,343
Senegal,M,905,787,696,599,495,403,320,248,186,137,104,89,69,44,21,8
Senegal,F,886,772,685,596,504,422,343,272,212,162,125,102,78,49,23,8
Sierra Leone,M,412,354,298,256,230,194,155,129,104,83,63,48,31,17,7,2
Sierra Leone,F,421,367,313,269,240,205,168,142,117,95,74,51,32,15,5,1
Togo,M,398,365,330,293,253,211,169,133,105,84,67,52,40,27,16,11
Togo,F,398,366,332,297,256,212,169,135,111,90,73,58,45,32,20,15
ASIA,M,185879,190957,195431,196228,176651,159092,161015,151903,126245,108137,95533,66871,48570,36855,24278,19076
ASIA,F,168641,173865,179175,183180,167155,151455,154374,145571,122139,104075,92964,68247,51449,41275,29431,28124
Eastern Asia,M,52107,58606,63658,69950,59892,55427,70165,71455,56590,49566,48750,35062,25148,19609,13459,10821
Eastern Asia,F,43330,49938,55631,63936,56566,52957,67702,68115,54334,46730,46298,34773,25673,21238,16345,17471
China,M,46225,51776,56449,62788,51849,47163,60851,62650,48338,41824,41619,27981,19586,15110,10074,7369
China,F,37825,43537,48899,57176,48910,44897,58471,59326,46086,38931,39000,27326,19412,15736,11717,10842
China Hong Kong SAR,M,117,191,241,226,235,230,241,254,315,312,249,194,117,111,93,99
China Hong Kong SAR,F,103,172,224,221,260,294,327,341,385,342,261,193,112,112,104,152
China Macao SAR,M,11,14,19,23,20,21,24,22,23,24,17,14,7,5,3,4
China Macao SAR,F,10,13,20,24,23,24,27,31,29,25,15,11,5,4,4,7
Dem. People's Republic of Korea,M,931,1054,1065,937,926,744,1051,1091,815,752,406,495,402,257,105,42
Dem. People's Republic of Korea,F,893,990,1014,900,897,724,1028,1072,806,754,424,559,544,457,290,217
Japan,M,2883,2999,3079,3366,3843,4293,4941,4353,4000,3794,4280,4807,3828,3154,2523,2723
Japan,F,2731,2860,2936,3210,3671,4111,4818,4280,3956,3798,4363,5028,4220,3692,3294,5273
Mongolia,M,113,122,140,160,131,114,104,89,79,53,36,23,19,14,8,6
Mongolia,F,110,119,137,158,129,115,106,93,85,61,41,27,23,17,13,12
Republic of Korea,M,1236,1653,1812,1619,1906,1848,2047,2047,2052,1918,1379,1073,832,665,414,279
Republic of Korea,F,1144,1514,1616,1470,1741,1807,2029,2038,2029,1923,1412,1131,963,876,665,675
Other non-specified areas,M,592,798,853,833,981,1015,907,949,968,890,763,474,358,294,239,299
Other non-specified areas,F,515,734,784,776,936,985,896,934,958,896,783,498,394,345,258,293
South-Central Asia,M,93623,93314,92148,87733,79457,69750,60036,53291,46158,39057,31570,21737,16043,11659,7147,5562
South-Central Asia,F,86929,86513,85421,82157,74871,66019,56874,50634,44171,37485,30849,22323,17079,13015,8134,6470
Central Asia,M,2821,2913,3325,3292,2652,2166,1946,1703,1697,1387,960,585,350,419,203,172
Central Asia,F,2714,2806,3227,3234,2652,2213,2027,1822,1856,1547,1141,726,451,628,337,405
Kazakhstan,M,606,562,711,808,688,596,546,490,514,437,332,212,110,146,51,41
Kazakhstan,F,578,537,686,789,677,609,574,529,577,517,428,293,189,276,120,152
Kyrgyzstan,M,247,266,302,307,230,177,167,152,152,115,74,44,26,34,17,19
Kyrgyzstan,F,239,256,296,307,229,175,174,160,165,124,90,57,33,48,26,33
Tajikistan,M,424,429,424,387,272,192,168,150,155,118,73,45,33,35,20,16
Tajikistan,F,407,414,414,389,287,217,193,175,170,130,86,51,32,45,28,31
Turkmenistan,M,252,239,282,272,224,191,167,150,134,110,74,45,27,29,16,12
Turkmenistan,F,244,233,277,269,227,196,172,152,151,124,87,53,32,40,25,26
Uzbekistan,M,1293,1416,1605,1520,1238,1010,897,762,741,608,406,239,153,174,98,85
Uzbekistan,F,1246,1367,1554,1480,1232,1016,913,805,793,651,450,272,164,218,138,163
Southern Asia,M,90802,90401,88823,84440,76805,67583,58090,51587,44461,37670,30609,21153,15693,11240,6944,5389
Southern Asia,F,84214,83707,82194,78922,72219,63807,54847,48812,42315,35939,29709,21597,16628,12386,7797,6066
Afghanistan,M,2468,2207,1817,1477,1197,972,796,646,516,407,313,242,162,100,52,28
Afghanistan,F,2310,2059,1688,1364,1101,889,725,589,473,378,296,235,164,105,58,34
Bangladesh,M,8092,8224,7953,7398,6963,6072,5000,4668,3820,2798,1936,1444,1234,995,653,543
Bangladesh,F,7736,7784,7554,7261,6874,6044,4978,4558,3792,2668,1932,1617,1368,953,592,480
Bhutan,M,36,36,39,40,44,35,25,23,17,16,11,9,7,5,3,2
Bhutan,F,35,35,39,38,32,27,21,18,14,13,10,7,6,5,3,3
India,M,64702,64018,62907,59549,54556,49061,42954,38169,33145,28651,23845,16087,11600,8112,4852,3693
India,F,59284,58604,57462,54724,50309,45500,39921,35590,31037,27077,22908,16298,12392,9339,5826,4463
Iran (Islamic Republic of),M,2743,2804,3655,4606,4448,3400,2663,2348,2003,1656,1266,800,610,552,458,388
Iran (Islamic Republic of),F,2614,2662,3491,4501,4451,3353,2540,2259,1963,1606,1270,854,619,514,384,344
Maldives,M,14,16,19,20,16,12,10,9,8,6,4,3,3,3,2,1
Maldives,F,13,15,18,20,17,13,11,9,8,6,4,3,3,2,1,1
Nepal,M,1905,1862,1700,1482,1261,1046,853,695,571,469,378,288,240,163,94,59
Nepal,F,1807,1762,1610,1418,1244,1084,943,815,682,551,435,343,289,203,121,81
Pakistan,M,9956,10443,9909,9032,7443,6180,5084,4330,3730,3070,2378,1873,1544,1101,694,538
Pakistan,F,9560,10022,9536,8779,7317,6077,4977,4243,3656,2999,2327,1786,1448,1013,641,492
Sri Lanka,M,886,790,823,838,877,806,705,700,653,598,479,407,292,209,136,137
Sri Lanka,F,856,764,797,818,873,821,733,732,689,641,527,454,338,252,170,169
South-Eastern Asia,M,27808,27360,28274,27394,26093,23534,21887,19835,17479,14683,11357,7517,5613,4177,2692,1997
South-Eastern Asia,F,26661,26277,27279,26763,25962,23747,22311,20424,18037,15259,11979,8471,6686,5309,3667,3082
Brunei Darussalam,M,18,17,17,17,18,19,18,14,13,11,9,5,3,2,1,1
Brunei Darussalam,F,17,15,15,17,19,22,20,15,13,9,7,4,2,2,2,1
Cambodia,M,742,798,881,719,727,357,433,387,323,254,196,144,97,52,29,18
Cambodia,F,711,767,840,712,759,382,433,414,374,309,248,198,147,93,61,41
Indonesia,M,11245,10787,10966,10869,10779,10043,9269,8387,7226,5907,4311,2961,2376,1757,1048,685
Indonesia,F,10832,10411,10633,10683,10810,10212,9430,8473,7197,5882,4356,3305,2830,2188,1402,1033
Lao People's Democratic Republic,M,360,383,388,332,265,215,179,149,127,103,82,57,42,31,19,13
